CISP;mes;vano;mes_ano;area_cisp;AISP;RISP;munic;mcirc;Regiao;hom_doloso;lesao_corp_morte;latrocinio;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;encontro_cadaver;encontro_ossada;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_bicicleta;outros_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;recuperacao_veiculos;cump_mandado_prisao;ameaca;pessoas_desaparecidas;hom_por_interv_policial;armas_apreendidas;prisoes;grp;apf_cmp;apreensoes;gaai;aaapai_cmba;registro_ocorrencias;pol_militares_mortos_serv;pol_civis_mortos_serv;indicador_letalidade;indicador_roubo_rua;indicador_roubo_veic;fase
1;1;2003;2003m1;3,5;5;1;Rio de Janeiro;3304557;Capital;0;0;0;1;40;0;1;15;0;0;14;0;5;1;26;8;0;0;32;0;;14;12;;157;0;1;0;69;1;5;8;21;2;0;4;;;;;;;578;0;0;0;66;5;3
4;1;2003;2003m1;3,8;5;1;Rio de Janeiro;3304557;Capital;3;0;0;0;47;1;4;35;0;1;5;0;9;1;25;12;0;1;14;1;;14;9;;106;0;1;0;1;35;7;1;15;6;0;5;;;;;;;441;0;0;3;51;9;3
5;1;2003;2003m1;3;5;1;Rio de Janeiro;3304557;Capital;3;0;0;1;73;2;1;19;1;0;10;1;11;5;26;4;2;0;34;2;;28;28;;188;0;0;0;37;4;10;5;47;2;0;9;;;;;;;637;0;0;3;64;11;3
6;1;2003;2003m1;6;1;1;Rio de Janeiro;3304557;Capital;6;0;0;2;43;2;1;20;1;0;10;0;27;6;14;22;0;0;20;0;;44;17;;73;0;0;0;8;20;77;3;26;2;0;7;;;;;;;473;0;0;6;56;27;3
7;1;2003;2003m1;5,2;1;1;Rio de Janeiro;3304557;Capital;4;0;0;2;18;2;0;2;3;0;0;2;23;1;4;0;0;0;1;0;;24;12;;23;0;0;0;4;3;9;1;10;1;0;1;;;;;;;147;0;0;4;5;23;3
9;1;2003;2003m1;6,9;2;1;Rio de Janeiro;3304557;Capital;1;1;0;3;44;0;0;15;0;0;4;3;30;0;18;10;0;0;16;0;;43;87;;181;0;0;0;20;11;20;1;36;3;0;3;;;;;;;554;0;0;2;44;30;3
10;1;2003;2003m1;8,2;2;1;Rio de Janeiro;3304557;Capital;1;0;0;4;48;1;0;26;3;0;4;4;20;0;26;10;1;0;17;1;;29;78;;212;0;0;0;19;7;19;3;40;2;0;1;;;;;;;593;0;0;1;53;20;3
12;1;2003;2003m1;3,2;19;1;Rio de Janeiro;3304557;Capital;2;0;0;4;45;1;0;14;0;0;6;2;3;1;20;5;0;0;22;1;;71;15;;241;0;1;0;18;11;6;6;48;3;1;3;;;;;;;620;0;0;3;47;3;3
13;1;2003;2003m1;1,9;19;1;Rio de Janeiro;3304557;Capital;0;0;0;0;16;0;0;15;0;0;6;2;6;0;20;4;0;0;10;0;;31;19;;198;0;1;0;15;14;14;2;26;1;0;5;;;;;;;455;0;0;0;34;6;3
14;1;2003;2003m1;5,2;23;1;Rio de Janeiro;3304557;Capital;0;0;0;0;30;1;1;30;2;0;12;3;19;0;25;6;0;0;11;0;;42;30;;281;0;1;0;16;10;12;2;43;2;0;3;;;;;;;636;0;0;0;42;19;3
15;1;2003;2003m1;19,9;23;1;Rio de Janeiro;3304557;Capital;0;0;0;0;21;0;0;24;0;0;3;3;9;0;12;2;0;0;6;0;;20;8;;97;0;0;0;7;4;16;1;25;5;0;1;;;;;;;294;0;0;0;20;9;3
16;1;2003;2003m1;175,4;36;6;Rio de Janeiro;3304557;Capital;3;0;1;8;107;7;6;102;1;0;12;11;48;1;24;7;0;0;17;2;;42;40;;250;0;0;0;58;13;22;8;141;3;0;8;;;;;;;973;0;0;4;48;48;3
17;1;2003;2003m1;11,1;4;1;Rio de Janeiro;3304557;Capital;5;0;0;3;51;2;0;42;4;0;7;0;33;8;22;15;0;0;27;0;;33;19;;87;0;1;0;8;21;58;0;38;2;1;7;;;;;;;576;0;0;6;64;33;3
18;1;2003;2003m1;3,5;6;1;Rio de Janeiro;3304557;Capital;3;0;0;0;23;1;0;25;1;0;5;0;42;1;36;8;0;0;27;0;;39;32;;85;0;0;0;8;2;18;3;28;1;0;7;;;;;;;389;0;0;3;71;42;3
19;1;2003;2003m1;40,4;6;1;Rio de Janeiro;3304557;Capital;0;0;0;7;34;0;0;24;2;0;10;0;64;6;24;4;0;0;23;0;;77;36;;138;0;0;0;26;11;21;2;52;1;1;9;;;;;;;569;0;0;1;51;64;3
20;1;2003;2003m1;11,2;6;1;Rio de Janeiro;3304557;Capital;2;0;0;10;42;1;0;19;2;0;7;0;47;5;18;3;1;0;21;0;;33;56;;88;0;0;0;16;11;43;2;29;0;2;6;;;;;;;485;0;0;4;42;47;3
21;1;2003;2003m1;14,8;22;1;Rio de Janeiro;3304557;Capital;23;0;0;16;75;2;4;51;5;0;15;3;166;23;52;40;0;0;31;0;;128;51;;105;0;0;0;18;23;159;2;53;8;8;27;;;;;;;991;1;1;31;123;166;3
22;1;2003;2003m1;16,2;16;1;Rio de Janeiro;3304557;Capital;2;0;0;0;41;1;3;45;3;0;21;1;131;10;27;14;0;0;17;0;;88;64;;103;0;0;0;5;7;103;0;43;4;0;14;;;;;;;687;0;0;2;58;131;3
23;1;2003;2003m1;4,7;3;1;Rio de Janeiro;3304557;Capital;1;0;0;2;61;0;0;32;0;0;13;1;124;13;32;4;0;0;41;0;;127;49;;111;1;0;0;37;5;70;0;56;0;0;3;;;;;;;790;0;0;1;77;124;3
24;1;2003;2003m1;7,4;3;1;Rio de Janeiro;3304557;Capital;3;0;0;2;54;1;1;38;1;0;6;1;78;10;24;3;0;0;19;0;;67;18;;48;0;0;0;10;7;60;2;55;6;1;21;;;;;;;502;0;0;4;46;78;3
25;1;2003;2003m1;8,2;3;1;Rio de Janeiro;3304557;Capital;3;0;0;4;39;3;2;19;1;0;3;1;118;10;22;6;0;0;16;0;;103;12;;72;0;1;0;8;33;127;4;25;2;2;43;;;;;;;629;0;0;5;44;118;3
26;1;2003;2003m1;10;3;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;3
27;1;2003;2003m1;14,1;9;2;Rio de Janeiro;3304557;Capital;7;0;0;2;60;2;3;34;1;0;13;1;148;2;22;7;0;0;23;2;;123;51;;97;0;0;0;5;3;54;1;58;0;2;10;;;;;;;648;0;0;9;52;148;3
28;1;2003;2003m1;18,9;9;2;Rio de Janeiro;3304557;Capital;2;0;1;6;41;1;0;31;1;0;9;0;54;3;19;12;0;0;18;0;;42;18;;65;0;1;0;6;3;36;6;49;5;3;7;;;;;;;419;0;0;6;49;54;3
29;1;2003;2003m1;8,8;9;2;Rio de Janeiro;3304557;Capital;10;0;0;1;49;2;0;19;1;0;11;1;45;2;39;21;0;0;29;0;;41;19;;89;0;0;0;18;5;24;3;53;7;1;4;;;;;;;517;0;0;11;89;45;3
30;1;2003;2003m1;9;9;2;Rio de Janeiro;3304557;Capital;3;0;1;5;92;2;0;20;4;0;8;1;96;4;36;9;0;0;22;0;;71;30;;65;0;0;0;9;4;32;4;90;2;5;6;;;;;;;577;0;0;9;67;96;3
31;1;2003;2003m1;14,2;14;2;Rio de Janeiro;3304557;Capital;1;0;0;0;4;0;0;2;0;0;0;0;3;2;0;0;0;0;1;0;;6;0;;3;0;0;0;0;0;1;0;10;0;0;0;;;;;;;41;0;0;1;1;3;3
32;1;2003;2003m1;98,3;18;2;Rio de Janeiro;3304557;Capital;6;1;0;12;200;7;3;65;3;0;10;9;52;10;14;19;0;0;20;0;;38;18;;96;0;2;0;8;9;54;6;181;9;0;21;;;;;;;830;0;0;7;53;52;3
33;1;2003;2003m1;54,6;14;2;Rio de Janeiro;3304557;Capital;8;0;2;0;98;0;2;46;6;0;6;0;62;10;35;4;0;0;17;0;;48;24;;61;0;0;0;14;11;32;1;86;5;0;40;;;;;;;590;0;0;10;56;62;3
34;1;2003;2003m1;67,8;14;2;Rio de Janeiro;3304557;Capital;14;0;0;14;119;11;3;43;5;0;14;4;93;14;41;13;0;0;23;0;;80;50;;116;0;0;0;11;38;96;8;71;12;15;70;;;;;;;908;1;1;29;77;93;3
35;1;2003;2003m1;308,7;31;2;Rio de Janeiro;3304557;Capital;32;0;1;4;257;14;4;122;12;0;16;4;93;10;54;26;0;0;25;1;;68;54;;269;0;2;0;30;9;62;12;208;27;0;36;;;;;;;1444;0;0;33;105;93;3
36;1;2003;2003m1;152,5;27;2;Rio de Janeiro;3304557;Capital;22;0;1;8;156;4;3;52;7;1;9;2;26;7;11;13;0;0;10;1;;22;10;;95;0;0;0;7;20;23;4;128;11;3;12;;;;;;;656;0;0;26;34;26;3
37;1;2003;2003m1;41,4;17;1;Rio de Janeiro;3304557;Capital;3;0;0;10;90;3;1;54;9;0;11;1;82;10;19;10;0;0;19;0;;57;14;;132;0;1;0;24;16;68;2;84;7;2;9;;;;;;;745;0;0;5;48;82;3
38;1;2003;2003m1;15,8;16;1;Rio de Janeiro;3304557;Capital;1;0;0;3;65;1;1;26;2;0;13;2;142;14;8;6;0;0;8;0;;98;38;;68;0;0;0;9;11;90;1;33;6;1;21;;;;;;;552;0;0;2;22;142;3
39;1;2003;2003m1;15;9;2;Rio de Janeiro;3304557;Capital;20;1;1;12;94;3;1;36;0;0;17;5;135;16;34;12;0;0;33;0;;102;23;;52;0;0;0;4;11;92;1;69;8;5;36;;;;;;;738;1;0;27;79;135;3
40;1;2003;2003m1;7,7;9;2;Rio de Janeiro;3304557;Capital;7;1;1;9;56;3;1;27;2;0;8;1;70;8;13;8;0;0;14;1;;44;14;;34;0;0;0;6;2;89;1;28;4;3;7;;;;;;;419;0;0;12;35;70;3
41;1;2003;2003m1;18,8;18;2;Rio de Janeiro;3304557;Capital;4;0;0;4;51;3;1;44;1;0;6;2;56;2;14;4;0;0;8;0;;38;26;;94;0;0;0;16;4;32;2;49;7;2;8;;;;;;;473;0;0;6;26;56;3
44;1;2003;2003m1;9,7;3;1;Rio de Janeiro;3304557;Capital;3;0;2;4;45;1;1;29;0;0;9;4;105;10;20;7;0;0;12;0;;70;23;;39;0;1;0;3;11;86;7;18;1;2;21;;;;;;;464;0;0;7;39;105;3
48;1;2003;2003m1;283,8;24;3;Seropédica;3305554;Baixada Fluminense;4;0;0;2;23;1;5;8;1;0;1;0;5;1;1;0;0;0;1;0;;7;1;;27;0;0;0;0;4;2;1;28;0;0;5;;;;;;;139;0;0;4;2;5;3
50;1;2003;2003m1;274,3;24;3;Itaguaí;3302007;Baixada Fluminense;7;0;0;5;58;1;2;33;0;0;3;5;4;0;5;0;0;0;6;0;;6;4;;33;0;0;0;8;4;4;2;79;3;0;5;;;;;;;246;0;0;7;11;4;3
51;1;2003;2003m1;179,7;24;3;Paracambi;3303609;Baixada Fluminense;2;0;0;2;29;2;0;7;0;0;0;0;4;2;0;0;0;0;0;0;;2;1;;14;0;0;0;2;1;2;0;26;2;0;4;;;;;;;91;0;0;2;0;4;3
52;1;2003;2003m1;40,7;20;3;Nova Iguaçu;3303500;Baixada Fluminense;6;0;0;1;91;7;0;34;1;0;9;3;67;14;26;8;0;0;16;0;;58;37;;101;0;0;0;10;3;27;4;94;1;2;11;;;;;;;585;0;0;8;50;67;3
53;1;2003;2003m1;33,9;20;3;Mesquita;3302858;Baixada Fluminense;8;0;0;2;106;5;1;14;1;0;4;0;16;1;10;1;0;0;6;0;;12;9;;41;0;0;0;1;9;20;0;89;4;4;14;;;;;;;372;0;0;12;17;16;3
54;1;2003;2003m1;77,8;20;3;Belford Roxo;3300456;Baixada Fluminense;20;0;0;4;224;8;0;28;2;0;8;1;43;7;6;3;0;0;8;0;;27;18;;66;0;0;0;4;11;41;5;211;15;3;19;;;;;;;703;0;0;23;17;43;3
55;1;2003;2003m1;157,6;24;3;"Queimados;Japeri";9999981;Baixada Fluminense;11;0;0;8;63;4;1;24;0;0;2;4;5;2;7;4;0;0;2;0;;6;5;;47;0;0;0;3;5;5;3;49;12;0;8;;;;;;;268;0;0;11;13;5;3
56;1;2003;2003m1;117,2;20;3;Nova Iguaçu;3303500;Baixada Fluminense;27;0;0;7;75;2;3;23;0;0;7;5;30;3;4;6;0;0;3;0;;17;7;;33;0;0;0;1;17;15;2;89;9;2;15;;;;;;;380;0;0;29;13;30;3
57;1;2003;2003m1;18,6;20;3;Nilópolis;3303203;Baixada Fluminense;5;1;1;1;66;3;1;15;0;0;4;0;46;4;17;4;0;0;8;0;;39;40;;50;0;2;0;6;9;40;4;74;6;0;7;;;;;;;447;0;0;7;29;46;3
58;1;2003;2003m1;349,3;20;3;Nova Iguaçu;3303500;Baixada Fluminense;29;0;0;8;116;6;6;45;1;0;4;1;43;5;6;9;0;0;2;0;;27;26;;45;0;0;0;5;5;42;2;128;6;1;18;;;;;;;569;0;0;30;17;43;3
59;1;2003;2003m1;40,8;15;3;Duque de Caxias;3301702;Baixada Fluminense;14;0;2;2;113;7;4;41;3;0;19;4;203;15;69;29;0;0;36;0;;176;44;;124;0;2;0;24;22;128;15;155;14;5;27;;;;;;;1221;0;0;21;134;203;3
60;1;2003;2003m1;100,3;15;3;Duque de Caxias;3301702;Baixada Fluminense;21;0;0;9;62;2;4;46;2;0;6;0;37;6;7;22;0;0;5;1;;22;8;;39;0;0;0;1;5;38;3;39;9;0;7;;;;;;;370;0;0;21;34;37;3
61;1;2003;2003m1;256,4;15;3;Duque de Caxias;3301702;Baixada Fluminense;2;0;0;2;19;0;0;17;0;0;2;0;5;1;1;2;0;0;1;0;;3;6;;14;0;0;0;2;0;24;1;24;1;0;6;;;;;;;124;0;0;2;4;5;3
62;1;2003;2003m1;70,1;15;3;Duque de Caxias;3301702;Baixada Fluminense;12;0;0;1;25;0;0;6;1;0;1;1;22;4;6;9;0;0;3;0;;14;5;;16;0;0;0;2;15;14;1;27;3;3;9;;;;;;;172;0;0;15;18;22;3
64;1;2003;2003m1;35,2;20;3;São João de Meriti;3305109;Baixada Fluminense;17;0;2;7;187;9;1;41;2;0;16;1;70;8;24;7;0;0;20;1;;52;44;;99;1;0;0;20;12;84;8;85;7;3;28;;;;;;;898;0;0;22;51;70;3
65;1;2003;2003m1;579,8;33;5;"Magé;Guapimirim";9999982;Baixada Fluminense;4;0;0;0;76;2;1;67;0;0;1;3;5;3;1;2;0;0;2;0;;4;4;;54;0;0;0;6;7;6;4;70;4;0;25;;;;;;;285;0;0;4;5;5;3
66;1;2003;2003m1;169,4;33;5;Magé;3302502;Baixada Fluminense;8;0;0;2;65;1;1;9;4;0;0;3;11;0;5;4;0;0;3;0;;12;3;;43;0;0;0;4;6;8;7;53;4;0;7;;;;;;;278;0;0;8;12;11;3
71;1;2003;2003m1;575,9;35;4;"Itaboraí;Tanguá";9999983;Interior;9;1;0;3;100;3;2;55;2;0;10;9;31;10;10;29;0;0;2;1;;27;13;;81;0;0;0;7;13;30;5;92;8;0;1;;;;;;;526;0;0;10;41;31;3
72;1;2003;2003m1;67,3;7;4;São Gonçalo;3304904;Grande Niterói;15;0;1;6;143;2;1;30;2;0;10;1;34;5;32;12;0;0;6;0;;31;34;;97;0;0;0;8;4;36;5;138;5;0;2;;;;;;;642;0;0;16;50;34;3
73;1;2003;2003m1;17,1;7;4;São Gonçalo;3304904;Grande Niterói;7;0;0;1;77;0;2;18;2;0;5;3;25;1;14;8;0;0;3;1;;25;16;;45;0;0;0;2;5;47;4;79;0;0;4;;;;;;;379;0;0;7;25;25;3
74;1;2003;2003m1;56,5;7;4;São Gonçalo;3304904;Grande Niterói;9;0;0;6;127;9;8;31;3;0;5;1;33;2;32;29;0;0;8;0;;32;18;;97;0;1;0;7;16;36;8;112;5;1;14;;;;;;;627;0;0;10;69;33;3
75;1;2003;2003m1;106,9;7;4;São Gonçalo;3304904;Grande Niterói;8;0;0;8;46;1;3;31;0;0;1;1;18;2;3;11;0;0;2;0;;14;2;;26;0;0;0;3;1;25;0;44;4;0;2;;;;;;;246;0;0;8;16;18;3
76;1;2003;2003m1;9,4;12;4;Niterói;3303302;Grande Niterói;1;0;0;1;45;1;2;43;1;0;16;4;28;1;42;20;0;0;23;0;;35;52;;184;0;0;0;13;6;12;2;65;6;2;5;;;;;;;650;0;0;3;85;28;3
77;1;2003;2003m1;7,5;12;4;Niterói;3303302;Grande Niterói;1;0;0;1;47;0;0;15;2;0;14;1;26;0;15;15;0;0;13;0;;26;83;;95;0;0;0;6;11;20;0;51;7;2;7;;;;;;;456;0;0;3;43;26;3
78;1;2003;2003m1;18,9;12;4;Niterói;3303302;Grande Niterói;6;0;0;3;86;3;0;27;1;0;7;1;20;3;14;29;0;0;12;0;;10;12;;44;0;0;0;1;10;39;0;69;3;1;6;;;;;;;397;0;0;7;55;20;3
79;1;2003;2003m1;33;12;4;Niterói;3303302;Grande Niterói;4;0;0;2;42;0;0;8;1;0;2;3;2;1;3;0;0;0;0;0;;4;13;;21;0;0;0;1;2;10;1;42;2;0;1;;;;;;;158;0;0;4;3;2;3
81;1;2003;2003m1;64,6;12;4;Niterói;3303302;Grande Niterói;4;0;0;3;48;2;0;19;2;0;2;4;12;0;7;3;0;0;3;1;;10;33;;69;0;0;0;10;3;14;5;39;3;0;11;;;;;;;296;0;0;4;13;12;3
82;1;2003;2003m1;362,6;12;4;Maricá;3302700;Grande Niterói;4;0;0;1;74;3;1;37;3;0;2;3;2;0;0;3;0;0;1;0;;4;11;;64;0;0;0;3;1;7;5;58;5;0;1;;;;;;;302;0;0;4;4;2;3
88;1;2003;2003m1;579;10;5;Barra do Pirai;3300308;Interior;1;0;0;2;42;2;3;11;0;0;0;0;2;0;1;0;0;0;0;0;;1;3;;22;0;0;0;3;8;1;3;21;1;0;5;;;;;;;158;0;0;1;1;2;3
89;1;2003;2003m1;1095,2;28;5;Resende;3304201;Interior;3;0;0;6;80;1;2;19;1;1;15;0;3;2;9;3;0;0;1;0;;4;3;;111;0;1;0;7;3;10;15;101;8;0;7;;;;;;;438;0;0;3;13;3;3
90;1;2003;2003m1;547,2;28;5;Barra Mansa;3300407;Interior;2;0;0;7;62;2;1;14;0;0;7;2;5;1;9;1;0;0;1;0;;8;10;;49;0;0;0;1;6;6;8;67;2;0;5;;;;;;;275;0;0;2;11;5;3
91;1;2003;2003m1;1304,8;10;5;Valença;3306107;Interior;0;0;0;0;63;0;0;3;1;0;0;0;0;0;2;0;0;0;0;0;;0;2;;43;0;0;0;1;9;1;4;28;2;0;6;;;;;;;177;0;0;0;2;0;3
92;1;2003;2003m1;478,3;10;5;Rio das Flores;3304508;Interior;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;2;0;0;0;0;0;0;2;0;0;0;2;;;;;;;15;0;0;0;0;0;3
93;1;2003;2003m1;182,5;28;5;Volta Redonda;3306305;Interior;6;0;0;7;150;2;0;76;0;0;9;1;15;1;15;1;0;0;5;0;;16;29;;105;0;0;0;11;18;16;24;115;10;0;14;;;;;;;664;0;0;6;21;15;3
94;1;2003;2003m1;581,9;10;5;"Piraí;Pinheiral";9999988;Interior;0;0;0;0;19;2;6;25;0;0;0;1;3;2;1;0;0;0;0;0;;2;1;;19;0;0;0;0;1;1;5;24;1;0;7;;;;;;;107;0;0;0;1;3;3
95;1;2003;2003m1;538,1;10;5;Vassouras;3306206;Interior;0;0;0;0;39;0;2;11;0;0;1;0;1;0;1;0;0;0;0;0;;1;1;;16;0;0;0;2;3;2;1;34;1;0;3;;;;;;;100;0;0;0;1;1;3
96;1;2003;2003m1;608;10;5;"Miguel Pereira;Paty dos Alferes";9999999;Interior;2;0;0;2;46;3;0;21;0;0;0;1;1;0;0;0;0;0;0;0;;0;0;;26;0;0;0;0;3;1;0;28;1;0;9;;;;;;;145;0;0;2;0;1;3
97;1;2003;2003m1;97;10;5;Mendes;3302809;Interior;0;0;0;0;12;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;;0;0;;8;0;0;0;1;0;0;1;11;0;0;3;;;;;;;56;0;0;0;1;0;3
98;1;2003;2003m1;132,9;10;5;Engenheiro Paulo de Frontin;3301801;Interior;0;0;0;0;7;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;8;0;0;0;0;0;2;0;12;0;0;0;;;;;;;35;0;0;0;0;0;3
99;1;2003;2003m1;245,1;28;5;Itatiaia;3302254;Interior;1;0;0;3;20;0;0;2;0;0;3;1;0;0;3;0;0;0;0;0;;4;1;;28;0;0;0;1;2;1;3;19;1;0;1;;;;;;;121;0;0;1;3;0;3
100;1;2003;2003m1;336,8;28;5;"Porto Real;Quatis";9999992;Interior;2;0;0;0;8;2;0;3;0;0;0;0;0;0;1;2;1;0;0;0;;1;1;;13;0;0;0;0;0;2;1;17;0;0;2;;;;;;;58;0;0;2;3;0;3
104;1;2003;2003m1;220,4;30;7;São José do Vale do Rio Preto;3305158;Interior;0;0;0;0;6;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;;0;3;;4;0;0;0;0;0;0;0;5;0;0;2;;;;;;;37;0;0;0;0;0;3
105;1;2003;2003m1;314,7;26;7;Petrópolis;3303906;Interior;2;0;0;0;110;3;1;30;0;0;6;4;3;2;8;3;0;0;1;0;;5;19;;88;0;0;0;11;17;3;7;89;4;0;9;;;;;;;486;0;0;2;12;3;3
106;1;2003;2003m1;481,1;26;7;Petrópolis;3303906;Interior;2;0;0;0;37;1;1;12;1;0;1;1;0;0;1;0;0;0;1;0;;1;2;;36;0;0;0;4;5;1;3;16;0;0;2;;;;;;;131;0;0;2;2;0;3
107;1;2003;2003m1;580,5;10;5;Paraíba do Sul;3303708;Interior;0;0;0;1;15;2;0;9;0;0;1;0;2;1;0;0;0;0;0;0;;0;2;;21;0;0;0;1;2;4;1;32;0;0;3;;;;;;;116;0;0;0;0;2;3
108;1;2003;2003m1;543,9;10;5;"Comendador Levy Gasparian;Areal;Três Rios";9999991;Interior;5;0;0;4;76;4;6;31;0;0;5;0;3;2;2;0;0;0;0;0;;5;5;;61;0;0;0;5;9;4;5;101;4;0;4;;;;;;;364;0;0;5;2;3;3
109;1;2003;2003m1;541,7;10;5;Sapucaia;3305406;Interior;3;0;0;1;9;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;;0;0;;12;0;0;0;0;0;0;1;13;0;0;1;;;;;;;50;0;0;3;0;1;3
110;1;2003;2003m1;770,6;30;7;Teresópolis;3305802;Interior;1;0;0;2;122;4;2;34;0;0;1;0;3;0;5;0;0;0;1;1;;3;19;;68;0;0;0;6;10;13;7;59;4;0;10;;;;;;;367;0;0;1;6;3;3
111;1;2003;2003m1;395,5;11;7;Sumidouro;3305703;Interior;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;;0;1;;3;0;0;0;0;0;1;2;5;0;0;5;;;;;;;33;0;0;0;2;0;3
112;1;2003;2003m1;321,9;11;7;Carmo;3301207;Interior;1;0;0;0;18;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;6;0;0;0;1;2;0;2;13;0;0;1;;;;;;;56;0;0;1;0;0;3
118;1;2003;2003m1;638;25;4;Araruama;3300209;Interior;3;0;0;0;61;4;5;34;0;0;1;3;4;1;5;0;0;0;1;0;;4;4;;104;0;0;0;6;2;6;3;35;2;0;7;;;;;;;301;0;0;3;6;4;3
119;1;2003;2003m1;456,5;35;4;Rio Bonito;3304300;Interior;3;0;0;0;23;3;0;23;0;0;0;0;7;3;2;1;0;0;0;0;;3;6;;14;0;0;0;5;6;3;1;17;2;0;4;;;;;;;110;0;0;3;3;7;3
120;1;2003;2003m1;937,5;35;4;Silva Jardim;3305604;Interior;1;0;0;0;5;1;3;7;0;0;0;0;1;0;0;0;0;0;0;0;;0;0;;14;0;0;0;0;2;1;3;11;0;0;5;;;;;;;54;0;0;1;0;1;3
121;1;2003;2003m1;460,8;34;3;Casimiro de Abreu;3301306;Interior;0;0;0;1;6;1;1;10;0;0;0;0;3;2;0;0;0;0;1;0;;0;2;;17;0;0;0;0;2;3;1;23;2;0;5;;;;;;;70;0;0;0;1;3;3
122;1;2003;2003m1;347,3;34;3;Conceição de Macabú;3301405;Interior;0;0;0;0;19;1;0;8;0;0;0;0;2;1;0;0;0;0;0;0;;2;2;;7;0;0;0;0;1;3;0;6;1;0;5;;;;;;;54;0;0;0;0;2;3
123;1;2003;2003m1;2237,8;34;3;"Macaé;Quissamã;Carapebus";9999984;Interior;7;0;0;12;64;2;2;43;0;0;4;1;12;4;7;1;0;0;5;0;;6;28;;80;0;0;0;11;18;21;6;35;2;0;20;;;;;;;393;0;0;7;13;12;3
124;1;2003;2003m1;353,6;25;4;Saquarema;3305505;Interior;2;0;0;1;19;3;1;29;1;0;1;0;2;2;4;0;0;0;1;0;;0;7;;51;0;0;0;2;8;7;2;30;1;0;8;;;;;;;177;0;0;2;5;2;3
125;1;2003;2003m1;332,8;25;4;São Pedro da Aldeia;3305208;Interior;4;0;0;4;51;0;3;30;1;0;2;1;3;0;7;0;0;0;1;0;;2;2;;41;0;0;0;8;4;4;5;40;0;0;1;;;;;;;228;0;0;4;8;3;3
126;1;2003;2003m1;570,7;25;4;"Cabo Frio;Arraial do Cabo";9999985;Interior;9;0;0;6;121;5;3;49;1;0;4;3;9;0;33;2;0;0;24;0;;19;40;;617;0;0;0;12;22;18;8;98;3;0;10;;;;;;;1091;0;0;9;59;9;3
127;1;2003;2003m1;70,3;25;4;Armação dos Búzios;3300233;Interior;11;0;0;2;42;2;0;22;2;0;3;2;2;0;4;1;0;0;3;0;;4;5;;105;0;0;0;3;7;6;3;24;2;0;3;;;;;;;269;0;0;11;8;2;3
128;1;2003;2003m1;229;34;3;Rio das Ostras;3304524;Interior;4;0;0;4;29;3;1;43;1;0;2;2;7;1;5;1;0;0;3;0;;6;22;;98;0;0;0;3;6;8;2;39;6;0;8;;;;;;;324;0;0;4;9;7;3
129;1;2003;2003m1;51,9;25;4;Iguaba Grande;3301876;Interior;0;0;0;0;7;0;1;6;0;0;1;0;1;1;0;0;0;0;1;0;;1;1;;27;0;0;0;0;2;1;3;10;0;0;1;;;;;;;63;0;0;0;1;1;3
134;1;2003;2003m1;2665;8;6;Campos dos Goytacazes;3301009;Interior;5;0;0;11;118;1;3;99;1;0;11;3;7;0;27;4;0;0;12;0;;9;18;;160;0;1;0;6;25;10;6;128;4;0;31;;;;;;;685;0;0;5;43;7;3
135;1;2003;2003m1;431,3;37;5;Itaocara;3302106;Interior;2;0;0;0;7;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;;0;2;;3;0;0;0;0;3;2;7;8;0;0;6;;;;;;;50;0;0;2;2;0;3
136;1;2003;2003m1;698;37;5;"Santo Antônio de Pádua;Aperibé";9999993;Interior;0;0;0;0;44;2;1;14;1;0;1;0;0;0;0;0;0;0;0;0;;0;2;;26;0;0;0;0;2;1;3;27;2;0;5;;;;;;;152;0;0;0;0;0;3
137;1;2003;2003m1;304,5;37;5;Miracema;3303005;Interior;0;0;0;0;21;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;8;0;0;0;0;1;0;5;8;0;0;7;;;;;;;51;0;0;0;0;0;3
138;1;2003;2003m1;250;29;6;Laje do Muriaé;3302304;Interior;0;0;0;1;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;;1;0;0;0;0;6;0;9;4;0;0;1;;;;;;;24;0;0;0;0;0;3
